    f_weight    f_mass4l f_D_bkg_kin     f_pfmet
         1.0   1.248e+02   9.429e-01   8.973e+01
         1.0   1.263e+02   4.051e-01   6.145e+01
         1.0   1.265e+02   8.573e-01   1.198e+02
         1.0   1.262e+02   7.870e-01   3.965e+01
         1.0   1.258e+02   6.028e-01   3.843e+01
         1.0   1.236e+02   4.608e-01   2.104e+02
         1.0   1.265e+02   5.735e-01   1.406e+02
         1.0   1.194e+02   6.047e-01   4.002e+01
         1.0   1.264e+02   7.390e-01   1.029e+02
         1.0   1.270e+02   4.743e-01   7.158e+01
         1.0   1.232e+02   9.503e-01   1.556e+02
         1.0   1.257e+02   3.536e-01   3.414e+02
         1.0   1.258e+02   7.339e-01   1.989e+02
         1.0   1.220e+02   7.254e-01   1.517e+02
         1.0   1.238e+02   3.307e-01   3.601e+01
         1.0   1.267e+02   7.109e-01   2.429e+01
         1.0   1.232e+02   4.191e-01   6.021e+01
         1.0   1.247e+02   3.441e-01   3.363e+01
         1.0   9.489e+01   4.782e-01   8.175e+01
         1.0   1.261e+02   3.232e-01   9.587e+01
         1.0   1.099e+02   2.035e-01   1.120e+02
         1.0   1.257e+02   6.183e-01   1.688e+02
         1.0   1.248e+02   7.984e-01   1.052e+02
         1.0   1.250e+02   5.728e-01   8.419e+01
         1.0   1.233e+02   8.104e-01   7.933e+01
         1.0   1.245e+02   7.437e-01   6.961e+01
         1.0   1.237e+02   3.315e-01   4.124e+01
         1.0   1.262e+02   3.039e-01   7.267e+01
         1.0   1.161e+02   6.542e-01   8.372e+01
         1.0   1.253e+02   8.685e-01   7.856e+01
         1.0   1.200e+02   5.428e-01   2.911e+02
         1.0   1.262e+02   7.605e-01   5.187e+01
         1.0   1.248e+02   6.787e-01   5.262e+01
         1.0   1.266e+02   7.218e-01   1.030e+02
         1.0   1.253e+02   4.114e-01   3.909e+02
         1.0   1.224e+02   9.576e-01   2.205e+01
         1.0   1.258e+02   7.379e-01   3.143e+01
         1.0   1.241e+02   7.806e-01   1.553e+02
         1.0   1.277e+02   6.614e-01   1.084e+02
         1.0   1.245e+02   5.327e-01   7.655e+01
         1.0   1.256e+02   4.976e-01   8.501e+01
         1.0   1.258e+02   1.767e-01   7.812e+01
         1.0   1.218e+02   7.380e-01   8.689e+01
         1.0   1.248e+02   4.566e-01   1.279e+01
         1.0   1.256e+02   8.807e-01   4.952e+01
         1.0   1.261e+02   7.322e-01   1.891e+02
         1.0   1.223e+02   9.298e-01   7.213e+01
         1.0   1.248e+02   6.861e-01   4.248e+01
         1.0   1.251e+02   5.175e-01   4.520e+01
         1.0   1.294e+02   2.628e-01   1.681e+02
         1.0   1.247e+02   8.353e-01   5.600e+01
         1.0   1.218e+02   5.401e-01   1.465e+02
         1.0   1.261e+02   7.725e-01   2.127e+01
         1.0   1.237e+02   7.617e-01   1.020e+02
         1.0   1.230e+02   9.140e-01   3.666e+01
         1.0   1.268e+02   5.371e-01   4.293e+01
         1.0   1.166e+02   4.685e-01   1.674e+02
         1.0   1.228e+02   5.500e-01   3.082e+01
         1.0   1.269e+02   8.670e-01   5.621e+01
         1.0   1.249e+02   4.601e-01   8.331e+01
         1.0   1.236e+02   7.661e-01   4.891e+01
         1.0   1.248e+02   6.138e-01   2.526e+02
         1.0   1.312e+02   8.639e-01   6.418e+01
         1.0   1.232e+02   6.449e-01   7.772e+01
         1.0   1.270e+02   4.743e-01   7.158e+01
         1.0   1.243e+02   2.624e-01   1.055e+02
         1.0   1.248e+02   7.043e-01   2.972e+02
         1.0   1.207e+02   7.032e-01   7.590e+01
         1.0   1.126e+02   9.158e-01   1.055e+02
         1.0   1.231e+02   8.375e-01   4.521e+01
         1.0   1.248e+02   7.057e-01   5.324e+01
         1.0   1.245e+02   3.829e-01   1.617e+02
