        f_mass4l     f_D_bkg_kin         f_pfmet         target
     -1.2391e+00     -1.4322e+00     -6.5403e-01               0
      1.7019e+00     -1.3566e-01     -5.4837e-01               0
      3.6784e-01      9.3766e-01      2.4709e+00               1
      4.7277e-01      1.0003e+00      1.3713e-01               1
      4.8276e-01     -6.3213e-01     -3.2627e-02               1
      4.6278e-01      1.7974e+00     -5.8716e-01               0
      4.7277e-01      2.2978e-01      2.0258e-01               1
     -1.2301e+00     -1.2469e+00     -6.7836e-01               0
      3.4286e-01      1.1469e+00     -1.2306e-01               1
      2.5292e-01      7.4679e-01      1.8653e+00               1
      2.6791e-01      1.3052e+00     -5.4793e-01               1
      4.1281e-01     -3.0882e-01      4.0050e-01               1
     -2.6173e-01     -2.1603e-03     -6.0663e-01               0
     -1.4704e+00     -7.7519e-01     -6.0644e-01               0
      4.4779e-01      1.4444e+00     -5.0648e-01               1
      5.2274e-01     -6.9796e-02     -2.6664e-01               1
      4.5778e-01     -1.0107e+00      2.4911e+00               1
     -2.2329e+00     -3.4990e-01     -5.5392e-01               0
      4.7777e-01     -1.6104e+00      3.5594e-02               1
      9.9242e-01     -1.4949e+00     -6.3487e-01               0
      4.0282e-01      1.6703e+00     -3.4268e-01               1
     -8.0136e-01      1.3498e+00     -5.8684e-01               0
      3.5285e-01      7.3475e-01     -6.4527e-01               0
     -9.7524e-01     -1.3067e+00     -6.1845e-01               0
      4.0781e-01      1.3254e+00      2.3373e+00               1
      4.5278e-01     -3.4636e-01     -7.3480e-02               1
     -1.1641e+00     -1.3586e+00     -6.8180e-01               0
      3.9782e-01     -7.0153e-01     -2.3094e-01               1
     -1.4114e+00      8.7675e-01      1.0672e+00               1
     -2.1893e-02      2.4218e-01     -6.6050e-01               0
     -1.1896e+00     -1.5398e+00     -6.4463e-01               0
      5.1774e-01     -1.2355e+00      1.3845e+00               1
      4.6777e-01      1.3059e+00      3.2817e-02               1
      3.1288e-01      5.1874e-01      9.2643e-01               1
      1.9767e+00     -1.3685e+00     -5.6043e-01               0
      1.1573e+00      6.8057e-01     -6.0021e-01               0
      5.6271e-01     -8.9346e-01     -5.0252e-01               0
