    f_weight    f_mass4l f_D_bkg_kin     f_pfmet
         1.0   7.617e+01   7.178e-01   1.022e+03
         1.0   1.267e+02   5.760e-01   5.168e+02
         1.0   1.271e+02   7.123e-01   4.454e+02
         1.0   9.482e+01   1.836e-01   6.132e+02
         1.0   1.270e+02   6.878e-01   6.774e+02
         1.0   1.261e+02   4.533e-01   2.984e+02
         1.0   1.268e+02   9.218e-01   7.975e+02
         1.0   1.275e+02   4.969e-01   7.691e+02
         1.0   1.205e+02   5.377e-01   8.083e+02
         1.0   1.194e+02   4.960e-01   8.292e+02
         1.0   1.248e+02   4.479e-01   7.238e+02
         1.0   9.548e+01   8.342e-01   8.366e+02
         1.0   9.570e+01   8.949e-01   8.205e+02
         1.0   1.251e+02   3.648e-01   5.157e+02
         1.0   1.265e+02   8.627e-01   8.370e+02
         1.0   1.239e+02   4.512e-01   8.269e+02
         1.0   1.258e+02   9.392e-01   3.411e+02
         1.0   1.208e+02   6.579e-01   6.106e+02
         1.0   1.257e+02   4.868e-01   4.925e+02
         1.0   1.220e+02   1.019e-01   7.200e+02
         1.0   1.238e+02   4.076e-01   8.366e+02
         1.0   1.253e+02   4.782e-01   3.153e+02
         1.0   1.254e+02   4.693e-01   7.203e+02
         1.0   1.246e+02   8.227e-01   8.258e+02
         1.0   1.237e+02   3.019e-01   5.718e+02
         1.0   1.230e+02   9.032e-01   8.098e+02
         1.0   1.279e+02   5.362e-01   6.135e+02
         1.0   1.257e+02   4.320e-01   6.751e+02
         1.0   1.207e+02   5.353e-01   8.027e+02
         1.0   1.259e+02   7.328e-01   6.812e+02
         1.0   1.232e+02   1.878e-01   9.447e+02
         1.0   1.261e+02   8.255e-01   8.500e+02
         1.0   1.263e+02   3.702e-01   4.918e+02
         1.0   1.265e+02   1.029e-01   5.602e+02
         1.0   9.004e+01   8.490e-01   8.807e+02
         1.0   1.166e+02   2.593e-01   7.776e+02
         1.0   1.249e+02   4.850e-01   7.244e+02
         1.0   1.269e+02   1.583e-01   7.474e+02
         1.0   1.262e+02   2.973e-01   6.959e+02
         1.0   1.254e+02   7.289e-01   5.382e+02
         1.0   1.263e+02   6.215e-02   4.930e+02
         1.0   9.950e+01   7.049e-01   3.828e+02
         1.0   1.247e+02   7.072e-01   8.121e+02
         1.0   1.262e+02   8.748e-01   6.236e+02
         1.0   1.270e+02   6.765e-01   9.559e+02
         1.0   1.270e+02   7.238e-01   6.157e+02
         1.0   1.267e+02   7.140e-01   7.380e+02
         1.0   1.113e+02   6.077e-01   7.104e+02
         1.0   1.249e+02   2.431e-01   7.108e+02
         1.0   1.254e+02   6.419e-01   8.447e+02
         1.0   1.247e+02   8.703e-01   2.979e+02
         1.0   1.190e+02   8.682e-01   4.536e+02
         1.0   1.267e+02   7.140e-01   7.380e+02
         1.0   1.232e+02   7.652e-01   8.170e+02
         1.0   1.231e+02   6.978e-01   7.070e+02
         1.0   9.042e+01   5.175e-01   8.133e+02
         1.0   1.256e+02   3.325e-01   7.054e+02
         1.0   1.218e+02   8.107e-01   2.129e+02
         1.0   1.268e+02   1.334e-01   8.122e+02
         1.0   1.430e+02   9.255e-02   7.003e+02
         1.0   1.245e+02   3.502e-01   3.114e+02
         1.0   7.643e+01   6.097e-01   7.141e+02
         1.0   1.263e+02   4.335e-01   9.720e+02
         1.0   1.267e+02   6.263e-01   6.803e+02
         1.0   9.615e+01   9.675e-01   7.824e+02
         1.0   1.136e+02   4.241e-01   7.414e+02
         1.0   1.232e+02   5.281e-01   3.524e+02
         1.0   1.268e+02   4.895e-01   5.782e+02
         1.0   1.275e+02   5.578e-01   6.016e+02
         1.0   7.956e+01   8.459e-01   4.676e+02
         1.0   1.009e+02   2.180e-02   8.126e+02
         1.0   1.265e+02   4.045e-01   6.441e+02
         1.0   1.177e+02   2.685e-01   7.170e+02
         1.0   1.095e+02   1.879e-01   7.631e+02
         1.0   1.257e+02   8.221e-01   8.047e+02
         1.0   9.478e+01   1.360e-01   4.054e+02
         1.0   1.267e+02   1.335e-01   3.403e+02
         1.0   1.290e+02   2.042e-01   8.408e+02
         1.0   1.240e+02   8.109e-01   7.776e+02
         1.0   8.476e+01   8.727e-01   6.498e+02
         1.0   1.109e+02   7.626e-01   7.261e+02
         1.0   1.261e+02   2.839e-01   7.084e+02
         1.0   9.283e+01   7.130e-01   8.208e+02
         1.0   1.206e+02   5.151e-01   7.996e+02
         1.0   1.221e+02   4.006e-01   6.750e+02
         1.0   1.269e+02   2.112e-01   6.185e+02
         1.0   7.833e+01   6.344e-01   7.262e+02
         1.0   1.260e+02   4.534e-01   6.227e+02
         1.0   1.263e+02   3.773e-01   8.506e+02
         1.0   1.247e+02   8.787e-01   7.298e+02
