        f_mass4l     f_D_bkg_kin         target
     -7.1630e-01      1.5042e-01               1
     -1.2698e+00     -1.1951e+00               0
     -1.3386e+00      8.8914e-01               0
      4.0149e-01      1.6230e+00               1
      4.1613e-01      4.3538e-01               1
      4.1125e-01      3.5080e-01               1
      3.5268e-01      6.4454e-01               1
      3.5401e-02      7.7017e-01               0
     -1.6242e+00     -1.2972e+00               0
      3.4291e-01      1.1194e+00               0
      4.3566e-01     -1.0331e-01               1
      9.2865e-01      1.3503e+00               0
     -1.0838e+00     -1.2915e+00               0
      5.2840e-01      3.9502e-01               1
      3.5756e-01      1.2467e+00               1
     -1.3108e+00     -5.6690e-01               0
     -6.7725e-01     -6.0129e-01               0
     -1.1209e+00     -4.0792e-01               0
      3.7220e-01      1.0569e+00               1
      2.1782e+00     -9.7609e-01               1
      3.1363e-01      1.0688e+00               0
     -6.1379e-01     -7.0587e-01               0
      2.0136e-01      1.0958e+00               1
      5.0887e-01     -1.7455e-01               0
      4.3566e-01      1.8060e-01               1
      4.0637e-01      6.7086e-01               1
      4.5030e-01      4.2275e-01               1
      3.4291e-01      9.5898e-01               1
      3.9661e-01      1.0664e+00               1
     -7.5534e-01     -1.1284e+00               0
     -1.5373e+00      2.3289e-01               0
     -1.3855e+00      2.3745e-01               0
      4.0149e-01      8.3931e-01               1
      5.2352e-01      7.2876e-01               1
      7.6757e-01     -1.4715e+00               0
     -1.2835e+00      7.3212e-02               0
      4.5030e-01      1.4040e+00               1
     -7.7975e-01     -1.0438e+00               0
      1.6901e+00     -1.1305e+00               0
      3.9661e-01      4.9083e-01               1
      4.4054e-01     -5.9287e-01               1
      3.1363e-01     -5.5286e-01               1
      2.9898e-01     -6.8567e-02               1
      2.1600e-01      1.3096e+00               1
      2.1600e-01      9.7091e-01               0
      2.0136e-01     -2.6455e-02               0
      2.2319e+00     -1.4751e+00               0
     -1.2264e+00     -1.1123e+00               0
      4.0637e-01     -1.0471e-01               1
      3.2339e-01      8.3861e-01               1
     -8.6627e-02      1.1562e+00               1
     -1.2630e+00     -6.8797e-01               0
      4.2589e-01     -1.0414e+00               1
      3.8196e-01     -5.5286e-01               1
      5.0399e-01     -4.8057e-01               1
      2.3881e+00     -1.5380e+00               0
      3.8684e-01      1.5443e+00               1
      1.1239e+00     -1.0961e+00               0
      4.2589e-01      6.3822e-01               1
      2.6970e-01     -1.3077e+00               1
      3.1851e-01      1.3110e+00               1
      3.2339e-01      7.9880e-02               1
     -1.2732e+00     -1.3328e+00               0
      3.8684e-01      1.7040e+00               1
     -1.3401e+00      6.6544e-02               0
      4.0283e-02      1.6875e+00               1
     -1.3513e+00      1.7879e+00               0
      5.2352e-01      1.6100e+00               1
      2.2577e-01      1.5935e+00               1
     -1.3723e+00      4.4485e-01               0
     -1.1990e+00     -1.2347e+00               0
      1.4767e-01     -1.2284e+00               1
     -1.4548e+00      8.2687e-02               0
     -7.7975e-01      1.0162e+00               1
     -1.3425e+00      1.4524e+00               0
     -1.0341e+00     -1.5531e+00               0
     -7.4558e-01      1.0671e+00               1
     -1.2542e+00     -1.8052e-01               0
      4.0637e-01      1.5924e+00               1
     -1.2137e+00     -5.1391e-01               0
     -1.2078e+00     -1.3848e+00               0
     -1.3201e+00     -1.2667e+00               0
      4.5030e-01     -2.3998e-02               0
      2.0624e-01      1.2917e+00               1
     -1.2288e+00     -1.4401e+00               0
