    f_weight    f_mass4l f_D_bkg_kin      f_pt4l
         1.0   1.302e+02   5.894e-01   1.962e+02
         1.0   1.270e+02   7.583e-01   1.344e+02
         1.0   1.274e+02   7.178e-01   2.207e+02
         1.0   1.273e+02   8.782e-01   2.467e+02
         1.0   1.294e+02   4.928e-01   1.971e+02
         1.0   1.223e+02   3.716e-01   1.222e+02
         1.0   1.267e+02   6.272e-01   1.429e+02
         1.0   1.253e+02   6.973e-01   1.952e+02
         1.0   1.262e+02   5.185e-02   1.825e+02
         1.0   1.233e+02   6.350e-01   1.806e+02
         1.0   1.147e+02   8.794e-01   1.489e+02
         1.0   1.249e+02   8.113e-01   2.407e+02
         1.0   1.250e+02   8.580e-01   2.059e+02
         1.0   1.248e+02   8.363e-01   2.261e+02
         1.0   1.262e+02   7.682e-01   2.137e+02
         1.0   1.248e+02   7.742e-01   2.022e+02
         1.0   1.168e+02   6.155e-01   2.059e+02
         1.0   1.242e+02   7.179e-01   1.602e+02
         1.0   1.263e+02   5.183e-02   1.889e+02
         1.0   1.265e+02   5.602e-01   2.050e+02
         1.0   1.223e+02   5.637e-01   1.683e+02
         1.0   1.246e+02   8.728e-01   1.716e+02
         1.0   1.247e+02   7.185e-01   1.094e+02
         1.0   1.234e+02   3.914e-01   1.765e+02
         1.0   1.277e+02   3.315e-01   2.329e+02
         1.0   1.262e+02   2.540e-01   2.126e+02
         1.0   1.231e+02   7.503e-01   1.888e+02
         1.0   1.207e+02   3.532e-01   2.213e+02
         1.0   1.263e+02   6.000e-01   1.644e+02
         1.0   1.262e+02   7.537e-01   2.084e+02
         1.0   1.253e+02   7.141e-01   2.097e+02
         1.0   1.208e+02   9.661e-02   1.991e+02
         1.0   1.255e+02   7.666e-01   1.419e+02
         1.0   1.266e+02   5.846e-01   2.072e+02
         1.0   1.232e+02   4.205e-01   1.846e+02
         1.0   1.161e+02   2.674e-01   1.932e+02
         1.0   1.252e+02   8.807e-01   3.063e+02
         1.0   1.257e+02   5.070e-01   1.809e+02
         1.0   1.260e+02   4.698e-01   1.935e+02
         1.0   1.240e+02   5.410e-01   2.044e+02
         1.0   1.262e+02   5.003e-01   1.969e+02
         1.0   1.217e+02   7.303e-01   1.475e+02
         1.0   1.219e+02   5.103e-01   1.932e+02
         1.0   1.230e+02   6.158e-01   1.809e+02
         1.0   1.257e+02   7.856e-01   2.131e+02
         1.0   1.240e+02   2.836e-01   2.623e+02
         1.0   1.253e+02   5.820e-01   1.862e+02
         1.0   1.268e+02   5.601e-01   1.616e+02
         1.0   1.242e+02   6.695e-01   1.858e+02
         1.0   1.259e+02   6.869e-01   1.097e+02
         1.0   1.249e+02   7.537e-01   1.986e+02
         1.0   1.246e+02   9.137e-01   1.927e+02
         1.0   1.252e+02   5.770e-01   2.169e+02
         1.0   1.247e+02   2.486e-01   2.300e+02
         1.0   1.234e+02   7.124e-01   1.251e+02
         1.0   1.228e+02   6.441e-01   1.992e+02
         1.0   1.140e+02   3.890e-01   1.725e+02
         1.0   1.186e+02   5.481e-01   2.213e+02
         1.0   1.226e+02   7.480e-01   2.485e+02
         1.0   1.268e+02   9.448e-01   1.957e+02
         1.0   1.293e+02   3.655e-01   1.104e+02
         1.0   1.284e+02   9.328e-01   1.474e+02
         1.0   1.195e+02   4.175e-01   1.978e+02
         1.0   1.242e+02   8.887e-01   2.134e+02
         1.0   1.246e+02   4.259e-01   1.664e+02
         1.0   1.241e+02   6.942e-01   1.976e+02
         1.0   1.252e+02   2.277e-01   1.780e+02
         1.0   1.233e+02   7.333e-01   2.320e+02
         1.0   1.240e+02   5.410e-01   2.044e+02
         1.0   1.263e+02   6.654e-01   2.066e+02
         1.0   1.242e+02   7.223e-01   1.953e+02
         1.0   1.277e+02   4.662e-01   2.310e+02
         1.0   1.259e+02   6.147e-01   1.546e+02
         1.0   1.241e+02   6.471e-01   2.012e+02
         1.0   1.257e+02   9.508e-01   1.758e+02
         1.0   1.280e+02   5.930e-01   2.332e+02
         1.0   1.275e+02   8.969e-01   1.412e+02
         1.0   1.195e+02   6.386e-01   1.808e+02
         1.0   1.173e+02   4.966e-01   1.626e+02
         1.0   1.259e+02   9.543e-01   1.655e+02
         1.0   1.264e+02   6.646e-01   2.716e+02
         1.0   1.244e+02   5.468e-01   1.529e+02
         1.0   1.128e+02   7.039e-01   1.761e+02
         1.0   1.270e+02   8.481e-01   2.350e+02
         1.0   1.269e+02   2.773e-01   1.913e+02
         1.0   1.242e+02   7.223e-01   1.953e+02
         1.0   1.271e+02   3.397e-02   5.298e+01
         1.0   1.253e+02   7.344e-01   1.747e+02
         1.0   1.229e+02   3.495e-01   1.995e+02
         1.0   1.255e+02   8.962e-01   1.930e+02
         1.0   1.238e+02   6.726e-01   1.970e+02
         1.0   1.237e+02   4.009e-01   2.313e+02
         1.0   1.242e+02   7.955e-01   1.560e+02
         1.0   1.222e+02   9.350e-01   1.604e+02
         1.0   1.251e+02   4.457e-01   2.267e+02
         1.0   1.288e+02   8.062e-01   1.941e+02
         1.0   1.189e+02   7.533e-01   2.063e+02
         1.0   1.255e+02   8.277e-01   2.151e+02
         1.0   1.256e+02   6.718e-01   2.360e+02
         1.0   1.253e+02   7.182e-01   1.967e+02
         1.0   1.233e+02   6.991e-01   1.778e+02
         1.0   1.269e+02   5.915e-01   1.922e+02
         1.0   1.257e+02   8.086e-01   8.916e+01
         1.0   1.205e+02   9.475e-01   1.898e+02
         1.0   1.239e+02   9.550e-01   1.966e+02
         1.0   1.222e+02   5.350e-01   2.226e+02
         1.0   1.262e+02   7.602e-01   2.354e+02
         1.0   1.253e+02   3.920e-01   1.904e+02
         1.0   1.276e+02   4.178e-01   2.254e+02
         1.0   1.255e+02   5.007e-01   1.494e+02
         1.0   1.246e+02   9.313e-01   2.021e+02
         1.0   1.270e+02   8.886e-01   1.550e+02
         1.0   1.248e+02   9.127e-01   1.579e+02
         1.0   1.264e+02   2.011e-01   1.864e+02
         1.0   1.290e+02   6.063e-01   1.237e+02
         1.0   1.269e+02   1.698e-01   1.873e+02
         1.0   1.223e+02   3.199e-01   2.892e+02
         1.0   1.243e+02   6.770e-02   1.080e+02
         1.0   1.267e+02   5.744e-01   1.962e+02
         1.0   1.161e+02   2.250e-01   1.696e+02
         1.0   1.223e+02   4.584e-01   2.004e+02
         1.0   1.259e+02   6.147e-01   1.546e+02
         1.0   1.234e+02   8.351e-01   2.116e+02
         1.0   1.229e+02   8.563e-02   6.279e+01
         1.0   1.236e+02   8.007e-01   1.309e+02
         1.0   1.238e+02   2.393e-01   1.644e+02
         1.0   1.236e+02   3.434e-01   1.886e+02
         1.0   1.251e+02   5.569e-01   7.077e+01
         1.0   1.220e+02   8.660e-01   1.982e+02
         1.0   1.255e+02   7.674e-01   2.474e+02
         1.0   1.251e+02   7.038e-01   2.145e+02
         1.0   1.292e+02   4.779e-01   3.315e+02
         1.0   1.254e+02   7.310e-01   1.910e+02
         1.0   1.266e+02   7.458e-01   2.009e+02
         1.0   1.254e+02   8.032e-01   1.117e+02
         1.0   1.262e+02   6.576e-01   1.428e+02
         1.0   1.218e+02   5.925e-01   1.899e+02
         1.0   1.252e+02   7.560e-01   2.043e+02
         1.0   1.092e+02   8.767e-01   1.319e+02
         1.0   1.253e+02   3.181e-01   2.008e+02
         1.0   1.273e+02   8.839e-01   1.265e+02
         1.0   1.257e+02   1.574e-01   2.185e+02
         1.0   1.266e+02   3.932e-01   1.190e+02
         1.0   1.252e+02   5.350e-01   2.117e+02
         1.0   1.174e+02   6.094e-01   1.466e+02
         1.0   1.254e+02   5.371e-01   2.040e+02
         1.0   1.257e+02   4.293e-01   1.878e+02
         1.0   1.259e+02   4.254e-01   1.773e+02
         1.0   1.245e+02   4.775e-01   1.800e+02
         1.0   1.238e+02   6.935e-01   1.241e+02
         1.0   1.260e+02   7.655e-01   2.000e+02
         1.0   1.238e+02   4.108e-01   1.519e+02
         1.0   1.226e+02   5.115e-01   2.263e+02
         1.0   1.233e+02   4.029e-01   1.350e+02
         1.0   1.260e+02   6.661e-01   1.827e+02
         1.0   1.240e+02   3.186e-01   1.743e+02
         1.0   1.266e+02   6.268e-01   1.862e+02
         1.0   1.267e+02   1.735e-01   1.571e+02
         1.0   1.243e+02   7.224e-01   1.393e+02
         1.0   1.237e+02   8.757e-01   8.247e+01
         1.0   1.233e+02   4.029e-01   1.350e+02
         1.0   1.266e+02   8.120e-01   1.806e+02
         1.0   1.208e+02   9.661e-02   1.991e+02
         1.0   1.277e+02   5.730e-01   1.785e+02
         1.0   1.226e+02   6.915e-01   1.798e+02
         1.0   1.236e+02   2.060e-01   1.915e+02
         1.0   1.247e+02   8.344e-01   1.756e+02
         1.0   1.252e+02   6.977e-01   3.129e+02
         1.0   1.249e+02   6.707e-01   1.968e+02
         1.0   1.239e+02   9.212e-01   2.119e+02
         1.0   1.250e+02   8.778e-01   8.891e+01
         1.0   1.223e+02   3.716e-01   1.222e+02
         1.0   1.263e+02   4.332e-01   1.643e+02
         1.0   1.258e+02   5.155e-01   2.060e+02
         1.0   1.255e+02   4.998e-01   1.849e+02
         1.0   1.249e+02   4.714e-01   2.351e+02
         1.0   1.255e+02   1.555e-01   1.705e+02
         1.0   1.251e+02   5.467e-01   1.548e+02
         1.0   1.280e+02   7.672e-01   1.620e+02
         1.0   1.147e+02   8.794e-01   1.489e+02
         1.0   1.187e+02   3.764e-01   1.908e+02
         1.0   1.257e+02   5.581e-01   2.067e+02
         1.0   1.243e+02   5.316e-01   1.666e+02
         1.0   1.273e+02   9.428e-01   1.569e+02
         1.0   1.271e+02   8.264e-01   2.221e+02
         1.0   1.260e+02   7.761e-01   2.524e+02
         1.0   1.229e+02   4.453e-01   1.356e+02
         1.0   1.256e+02   8.336e-01   1.945e+02
         1.0   1.227e+02   5.196e-01   1.672e+02
         1.0   1.256e+02   3.826e-01   1.755e+02
         1.0   1.221e+02   4.022e-01   3.014e+02
         1.0   1.197e+02   8.531e-01   1.991e+02
         1.0   1.227e+02   5.074e-01   2.036e+02
         1.0   1.234e+02   8.775e-01   1.659e+02
         1.0   1.251e+02   7.698e-01   1.762e+02
         1.0   1.243e+02   5.873e-01   1.767e+02
         1.0   1.263e+02   4.836e-01   2.295e+02
         1.0   1.234e+02   7.107e-01   1.886e+02
         1.0   1.238e+02   6.935e-01   1.241e+02
         1.0   1.242e+02   6.695e-01   1.858e+02
         1.0   1.166e+02   8.034e-01   2.166e+02
         1.0   1.245e+02   4.304e-01   2.065e+02
         1.0   1.260e+02   1.412e-01   1.985e+02
         1.0   1.254e+02   9.047e-01   8.822e+01
         1.0   1.278e+02   7.140e-01   4.162e+02
         1.0   1.253e+02   1.737e-01   1.712e+02
         1.0   1.236e+02   9.644e-01   1.941e+02
         1.0   1.260e+02   9.477e-01   2.339e+02
         1.0   1.251e+02   5.851e-01   1.787e+02
         1.0   1.250e+02   3.840e-01   2.516e+02
         1.0   1.267e+02   8.846e-01   1.480e+02
         1.0   1.246e+02   2.246e-01   1.879e+02
         1.0   1.267e+02   3.159e-01   1.940e+02
         1.0   1.246e+02   5.747e-01   1.360e+02
         1.0   1.260e+02   8.924e-01   1.732e+02
         1.0   1.281e+02   3.524e-01   1.845e+02
         1.0   1.255e+02   7.727e-01   1.853e+02
